_id,X,Y,OBJECTID,NAME,ALT_NAME,UPDATE_DATE
91,11763245.04875,6970519.57518749,214,MANASSAS CROSSROADS,,2019/09/24 21:04:30+00
92,11737553.360625,6971567.72487499,215,PROMENADE AT VIRGINIA GATEWAY,VIRGINIA GATEWAY,2020/08/03 21:34:11+00
93,11762048.6253125,6970036.99049999,216,SUDLEY MANOR PLACE,,2019/09/24 21:04:30+00
94,11765111.649375,6971971.09924999,217,SUDLEY SQUARE,,2020/08/03 21:55:45+00
95,11764652.12375,6971182.19456249,218,SUDLEY MANOR SQUARE,,2020/08/03 21:55:38+00
96,11737619.09125,6973842.5958125,220,VIRGINIA GATEWAY,,2020/08/09 21:14:26+00
97,11820388.0,6934188.49987499,221,DILLINGHAM SQUARE,OLD BRIDGE FESTIVAL SHOPPING CENTER,2019/10/21 20:11:44+00
98,11824318.0,6922498.49987499,222,SPRINGWOOD SHOPPING CENTER,,2020/08/03 22:10:30+00
99,11807442.229375,6932832.2364375,224,SHOPS AT COUNTY CENTER,,2020/08/09 21:14:26+00
100,11798506.9678125,6930321.432375,225,HOADLY MARKETPLACE,,2020/08/04 02:27:12+00
101,11828915.863125,6915140.36174999,226,STONEBRIDGE AT POTOMAC TOWN CENTER,POTOMAC TOWN CENTER,2019/09/24 21:09:55+00
102,11815658.3509375,6930652.15924999,227,THE GLEN,MERCHANT PLAZA,2019/09/24 21:04:30+00
103,11764608.7409375,6968563.21206249,228,INDEPENDENT PLAZA,,2019/09/24 21:04:30+00
104,11822339.384375,6896555.074875,229,PRINCETON WOODS,,2019/09/24 21:04:30+00
105,11827276.6196875,6903343.31268749,230,PORT POTOMAC PLAZA,,2020/08/03 22:59:55+00
106,11837216.911875,6934167.81268749,231,RIVERWALK SHOPS,,2019/09/24 21:04:30+00
107,11762971.2534375,6969293.88331249,233,ASHTON SQUARE,,2019/09/24 21:04:30+00
108,11765215.2453125,6968255.8855,234,PLAZA CENTER,,2019/09/24 21:04:30+00
109,11782938.9553125,6973040.31862499,235,YORKSHIRE SHOPPING PLAZA,,2019/09/24 21:04:30+00
110,11824897.0,6899697.49987499,236,RIVER OAKS SHOPPING CENTER,,2019/10/21 20:12:11+00
111,11782863.0690625,6975870.53174999,237,PLAZA 28,,2019/09/24 21:04:30+00
112,11822711.315625,6897446.14925,238,KELLYS RIDGE,,2019/09/24 21:04:30+00
113,11824277.871875,6899916.528625,239,RIVER RIDGE PLAZA,,2019/09/24 21:04:30+00
114,11837320.7246875,6930485.07456249,240,DOMINION CONVENIENCE CENTER,,2019/09/24 21:04:30+00
115,11782537.6015625,6955288.7876875,515,PRINCE WILLIAM COMMERCE CENTER,PRINCE WILLIAM GATEWAY,2020/08/09 21:13:57+00
116,11732035.651875,6977800.7455,517,VILLAGE SQUARE AT GREENHILL CROSSING,,2020/08/05 03:01:51+00
117,11736243.3340625,6978752.308,518,HERITAGE MARKETPLACE,,2020/08/05 03:03:55+00
118,11732820.11625,6973468.36925,915,GARDNER STATION,,2020/08/09 19:36:59+00
119,11748028.50125,6995735.978,916,CATHARPIN SQUARE,,2020/08/09 19:42:12+00
120,11782295.715,6969340.60425,917,SONG PLAZA,,2020/08/09 19:58:56+00
121,11836418.2609375,6930263.64768749,918,YARBROUGH PARK,,2020/08/09 20:36:04+00
122,11808413.0525,6932524.49831249,919,THE SHOPS AT RIDGEFIELD CENTER,THE SHOPS ON APOLLO,2021/08/11 14:04:19+00
123,11826806.838125,6917710.89768749,920,WOODBRIDGE COMMONS,,2020/08/09 20:56:11+00
124,11815856.4984375,6928067.914875,922,HILLENDALE CENTER,,2021/08/12 18:23:49+00
125,11816473.258125,6898094.32206249,924,BARRACKS ROW QUANTICO,BARRACKS ROW AT QUANTICO,2023/08/30 18:58:06+00
126,11807666.6096875,6932007.4870625,925,RIDGEFIELD VILLAGE,RIDGEFIELD VILLAGE CENTER,2023/08/30 18:58:06+00
127,11826580.7275,6921453.52956249,926,WALMART,WALMART AT SMOKETOWN STATION,2023/10/12 21:35:02+00
128,11765867.41875,6965557.87424999,927,WALMART,WALMART AT MANASSAS MALL,2023/10/12 21:35:02+00
129,11726516.7290625,6982282.2689375,928,WALMART,WALMART AT HAYMARKET VILLAGE CENTER,2023/10/12 21:35:02+00
