X,Y,OBJECTID,NAME,ADDRESS,CITY,ZIP,UPDATE_DATE,STATUS
11782823.9994394,6969029.4999782,5487,RIVER OF LIFE PENTECOSTAL HOLINESS CHURCH,8216 BIRCH STREET,MANASSAS,20111,2020/07/31 19:48:40+00,1
11763810.5420137,6968754.58362594,5488,MANASSAS PRESBYTERIAN CHURCH,8201 ASHTON AVENUE,MANASSAS,20109,2021/08/25 19:58:00+00,1
11772107.9996854,6968497.5834337,5489,GREATER MOUNT CALVARY CHRISTIAN CHURCH,9514 WESTMORELAND AVENUE,MANASSAS,20110,2021/08/25 19:58:19+00,1
11719969.0000849,6968626.50016983,5490,GAINESVILLE PRESBYTERIAN CHURCH,16127 LEE HIGHWAY,GAINESVILLE,20155,2019/07/26 20:03:31+00,1
11779672.0002045,6968481.5004897,5491,CHRISTIAN & MISSIONARY ALLIANCE,8040 MCLEAN WAY,MANASSAS,20111,2019/07/26 20:03:31+00,1
11769080.9379226,6967434.18759272,5492,TABERNACLE BAPTIST CHURCH,8275 BARRETT DRIVE,MANASSAS,20109,2021/08/25 19:58:44+00,1
11772569.9583419,6966494.27053584,5493,ANTIOCH CHURCH OF CHRIST,8310 PLANTATION LANE,MANASSAS,20110,2021/08/25 19:59:33+00,1
11768562.9997461,6966441.49971978,5494,PENTECOSTAL CHURCH OF GOD,8441 IRONGATE WAY,MANASSAS,20109,2019/07/26 20:03:31+00,1
11763516.0004454,6962800.0000684,5495,MANASSAS PENTECOSTAL CHURCH,8727 WELLINGTON ROAD,MANASSAS,20109,2019/07/26 20:03:31+00,1
11766326.0003201,6962353.00000398,5496,MANASSAS CHURCH OF GOD,8823 RIXLEW DRIVE,MANASSAS,20109,2019/07/26 20:03:31+00,1
11725764.9995783,6956940.00031894,5497,GREENWICH PRESBYTERIAN CHURCH,15305 VINT HILL ROAD,NOKESVILLE,20181,2019/07/26 20:03:31+00,1
11723489.0003442,6956011.49983807,5498,OAK DALE BAPTIST CHURCH,9532 AUBURN ROAD,NOKESVILLE,20181,2019/07/26 20:03:31+00,1
11787462.4785477,6952104.99999444,5499,BUCKHALL UNITED METHODIST CHURCH,10251 MOORE DRIVE,MANASSAS,20111,2021/08/25 19:59:53+00,1
11783335.0000159,6951390.00018577,5500,SIKH CENTER OF VIRGINIA,8015 BUCKHALL ROAD,MANASSAS,20111,2019/07/26 20:03:31+00,1
11779553.8119164,6950693.62463312,5501,FIRST AFRICAN METHODIST EPISCOPAL CHURCH OF MANASSAS,10313 GRANT AVENUE,MANASSAS,20108,2021/08/25 20:00:44+00,1
11753829.1460364,6950439.64600889,5502,BRISTOW ASSEMBLY OF GOD CHURCH,11804 NOKESVILLE ROAD,BRISTOW,20136,2021/08/25 20:40:02+00,1
11748264.2083032,6949412.91627993,5503,COLCHESTER FREE WILL BAPTIST CHURCH,10405 SCHAEFFER LANE,NOKESVILLE,20181,2021/08/25 20:40:19+00,1
11758709.395897,6946423.31243715,5504,NEW HOPE BAPTIST CHURCH,10909 BRISTOW ROAD,BRISTOW,20136,2021/08/25 20:42:21+00,1
11774364.5001675,6941770.16708881,5505,CALVARY CHAPEL OF MANASSAS,9312 BRENTSVILLE ROAD,MANASSAS,20112,2021/08/25 20:42:48+00,1
11744840.0004281,6939325.49995054,5506,NOKESVILLE CHURCH OF THE BRETHEREN,13002 FITZWATER DRIVE,NOKESVILLE,20181,2019/07/26 20:03:31+00,1
11746931.49995,6937888.58295719,5508,NOKESVILLE GOSPEL CHAPEL,12809 FITZWATER DRIVE,NOKESVILLE,20181,2021/08/25 20:43:34+00,1
11768495.6873621,6935636.7293871,5509,BRENTSVILLE PRESBYTERIAN CHURCH,12305 BRISTOW ROAD,BRISTOW,20136,2021/08/25 20:43:49+00,1
11822965.2497808,6934730.39543426,5510,ST MATTHEWS LUTHERAN CHURCH,12351 ALL SAINTS PLACE,WOODBRIDGE,22191,2021/08/25 20:44:15+00,1
11807746.0001026,6934233.49994579,5511,REAL LIFE CHURCH,5023 DAVIS FORD ROAD,DALE CITY,22191,2021/07/28 19:39:16+00,1
11832656.9999338,6934196.49949776,5512,LAKE RIDGE BAPTIST CHURCH,12450 CLIPPER DRIVE,WOODBRIDGE,22192,2019/07/26 20:03:31+00,1
11746893.582766,6933475.22896908,5513,NOKESVILLE UNITED METHODIST CHURCH,12550 ADEN ROAD,NOKESVILLE,20181,2021/08/25 20:49:53+00,1
11836883.5555858,6934109.40266567,5514,IGLESIA PENTECOSTES LA SENDA DE VIDA ETERNA,209 WASHINGTON STREET,OCCOQUAN,22125,2020/04/29 16:43:44+00,1
11818437.9998566,6932944.4997526,5515,THE CHURCH OF JESUS CHRIST OF LATTER-DAY SAINTS,3718 OLD BRIDGE ROAD,WOODBRIDGE,22192,2020/07/07 20:45:42+00,1
11746745.0003658,6932085.5004558,5516,VICTORY BAPTIST CHURCH,12650 ADEN ROAD,NOKESVILLE,20181,2019/07/26 20:03:31+00,1
11817396.9996636,6931896.00003962,5517,OLD BRIDGE UNITED METHODIST CHURCH,3966 OLD BRIDGE ROAD,WOODBRIDGE,22192,2019/07/26 20:03:31+00,1
11825005.0001827,6931245.49968702,5518,ST ELIZABETH ANN SETON CATHOLIC CHURCH,12805 VALLEYWOOD DRIVE,WOODBRIDGE,22192,2019/07/26 20:03:31+00,1
