_id,X,Y,OBJECTID,SOURCE,NAME_CODE,ALT_NAME,ZIPCODE,LINK,TYPE,CITY,ADDRESS,UPDATE_DATE,DISTRICT
52,11823968.0007873,6933920.49976538,170,113,72,,22192,https://oldbridgees.pwcs.edu/,1,WOODBRIDGE,3051 OLD BRIDGE RD,2020/01/07 14:58:49+00,Prince William
53,11748794.0005451,6936485.49922855,171,113,12,,20181,https://brentsvillehs.pwcs.edu/,4,NOKESVILLE,12109 ADEN RD,2020/06/29 17:05:08+00,Prince William
54,11791136.0005066,6932955.50038305,172,113,55,THURGOOD MARSHALL ES,20112,https://marshalles.pwcs.edu/,1,MANASSAS,12505 KAHNS RD,2020/01/07 14:58:49+00,Prince William
55,11734703.1563515,6964255.90891072,173,111,32,,20155,https://glenkirkes.pwcs.edu/,1,GAINESVILLE,8584 SEDGE WREN DR,2020/01/07 14:58:48+00,Prince William
56,11798768.0000063,6911644.99969704,174,111,4,,20112,https://ashlandes.pwcs.edu/,1,MANASSAS,15300 BOWMANS FOLLY DR,2020/01/07 14:58:48+00,Prince William
57,11748027.0004386,6951728.50023855,175,55,16,,20136,https://cedarpointes.pwcs.edu/,1,BRISTOW,12601 BRAEMAR PKWY,2020/01/07 14:58:48+00,Prince William
58,11737949.9995953,6984179.49964088,176,113,15,,20155,https://bullrunms.pwcs.edu/,3,GAINESVILLE,6308 CATHARPIN RD,2020/06/29 17:05:29+00,Prince William
59,11824183.0000292,6891384.4998638,177,55,99,,22026,https://swanscreekes.pwcs.edu/,1,DUMFRIES,17700 WAYSIDE DR,2020/01/07 14:58:49+00,Prince William
60,11723736.4788098,6990806.54544188,178,113,1,J W ALVEY ES,20169,https://alveyes.pwcs.edu/,1,HAYMARKET,5300 WAVERLY FARM DR,2020/01/07 14:58:48+00,Prince William
61,11829194.1944031,6911979.80283321,179,113,28,,22191,https://freedomhs.pwcs.edu/,4,WOODBRIDGE,15201 NEABSCO MILLS RD,2020/06/30 20:06:05+00,Prince William
62,11752646.0062925,6959130.29809897,180,111,104,,20136,https://victoryes.pwcs.edu/,1,BRISTOW,12001 TYGART LAKE DR,2020/01/07 14:58:49+00,Prince William
63,11772881.9999411,6959181.49976821,181,55,80,PHILLIP M PENNINGTON SPECIALTY,20110,https://pennington.pwcs.edu/,5,MANASSAS,9305 STONEWALL RD,2020/06/29 16:07:39+00,Prince William
64,11730674.0400659,6992070.03766555,182,113,6,,20169,https://battlefieldhs.pwcs.edu/,4,HAYMARKET,15000 GRADUATION DR,2020/01/07 14:58:49+00,Prince William
65,11748213.7700782,6934730.83082189,183,113,68,THE NOKESVILLE SCHOOL,20181,https://nokesville.pwcs.edu/,5,NOKESVILLE,12375 ADEN RD,2020/01/07 14:58:48+00,Prince William
66,11724746.3373544,6977857.28787588,184,113,38,,20169,https://haymarketes.pwcs.edu/,1,HAYMARKET,15500 LEARNING LN,2020/01/07 14:58:49+00,Prince William
67,11747729.8215711,6966471.35264255,185,113,17,,20136,https://chrisyunges.pwcs.edu,1,BRISTOW,12612 FOG LIGHT WAY,2020/01/07 14:58:48+00,Prince William
68,11803107.2915246,6915677.78657897,186,113,115,KYLE R WILSON ES,22193,https://wilsones.pwcs.edu/,1,WOODBRIDGE,5710 LIBERTY HILL CT,2020/01/07 14:58:49+00,Prince William
69,11776873.7675481,6957436.53311379,187,18,5,BALDWIN ES CITY OF MANASSAS,20110,https://www.mcpsva.org/baldwines,1,MANASSAS,1978 EAGLE WAY,2020/06/11 21:22:52+00,Manassas
70,11778950.0842616,6955448.7634673,188,113,60,GRACE METZ MS CTY OF MANASSAS,20110,https://www.mcpsva.org/metzms,3,MANASSAS,9950 WELLINGTON RD,2020/06/29 20:46:56+00,Manassas
71,11777323.8325929,6956872.53719455,189,18,73,OSBOURN HS CITY OF MANASSAS,20110,https://www.mcpsva.org/osbournhs,4,MANASSAS,1977 EAGLE WAY,2020/01/07 14:59:47+00,Manassas
72,11778646.3725987,6949867.88650571,191,113,9,,20110,https://bennettes.pwcs.edu/,1,MANASSAS,8800 OLD DOMINION DR,2020/01/07 14:58:48+00,Prince William
