ID,Raw_Opportunity_Index,Standardized_Opportunity_Index,PWC_Opportunity_Index,Opportunity_Tier,Top_Domain,Socioeconomic_Rank,Housing_Rank,Transportation_Rank,TransportationSafety_Rank,Environmental_Rank,PublicHealth_Rank,Socioeconomic_Score_Weighted,Housing_Score_Weighted,Transportation_Score_Weighted,TransportationSafety_Score_Weighted,Environmental_Score_Weighted,PublicHealth_Score_Weighted
51153901212,0.5823768269613835,0.6211161808257435,7,Exceptional Opportunity,PublicHealth,2.0,6.0,3.0,5.0,4.0,1.0,0.22867178285734788,0.0037956793409583875,0.035991418537154846,0.011344287129727876,-0.019213007973780834,0.32178666706997533
51153900702,0.904158141141249,0.9643021931664085,7,Exceptional Opportunity,PublicHealth,2.0,5.0,4.0,3.0,6.0,1.0,0.21553086764147458,0.006729653122611243,-0.01165891476037231,0.10603969824098142,0.006163375867365589,0.5813534610291885
51153900407,0.6476321064817683,0.6907122020237252,7,Exceptional Opportunity,Socioeconomic,1.0,3.0,5.0,4.0,6.0,2.0,0.40536138788167286,-0.05958251547330249,0.025996536470842574,-0.046911929116463726,-0.015542716560969474,0.3383113432799886
51153900302,0.6312119506488256,0.6731997873681929,7,Exceptional Opportunity,PublicHealth,2.0,4.0,3.0,5.0,6.0,1.0,0.22469588281307776,-0.029469479791631746,0.0341841778148123,0.02759462800206487,-0.009502816593112192,0.3837095584036147
51153901419,0.4716476075830107,0.5030213208276976,7,Exceptional Opportunity,Socioeconomic,1.0,5.0,4.0,3.0,6.0,2.0,0.8087743682761138,-0.060465464931099874,-0.09348079550784683,0.35002412716044584,0.00030537653520339945,-0.5335100039498057
51153901601,0.49558434558751085,0.5285503161490849,7,Exceptional Opportunity,Socioeconomic,1.0,5.0,3.0,4.0,6.0,2.0,0.6847974143135788,-0.010176558628309308,-0.019437606102002066,-0.015521669067004227,-0.001367041856117549,-0.14271019307263463
51153901702,0.5210343841844707,0.5556932759019454,7,Exceptional Opportunity,Socioeconomic,1.0,5.0,3.0,4.0,6.0,2.0,0.9776279618690487,-0.02982616523663516,-0.09043272534013048,0.0318152220498079,-0.009845426856437066,-0.35830448230118317
51153900203,0.8759807605805273,0.9342504703139306,7,Exceptional Opportunity,Socioeconomic,1.0,4.0,5.0,3.0,6.0,2.0,0.6369178514948078,-0.1008959773403381,-0.076422845956147,0.1264578948009338,-0.008485438137508006,0.29840927571877873
51153900601,0.887102301264016,0.9461118091489057,7,Exceptional Opportunity,Socioeconomic,1.0,5.0,3.0,2.0,6.0,4.0,0.88714544104532,0.006963019962410433,-0.020344048536848014,0.021544912113294137,-0.0007804604626032727,-0.007426562857557262
51153900202,0.32342358449485004,0.34493752548250634,6,High Opportunity,Socioeconomic,1.0,5.0,4.0,3.0,6.0,2.0,0.1951417354268154,0.006895097656373807,-0.028062034034401436,0.04022061613336344,-0.005424204913896387,0.11465237422659522
51153901013,0.2735818730567384,0.2917803735817639,6,High Opportunity,Socioeconomic,1.0,4.0,3.0,6.0,5.0,2.0,0.16412861733547798,0.011848289615777646,0.01857212291639499,-0.002020328240074018,0.011299093411668815,0.06975407801749302
