censustract,total_2024,white_2024,black_2024,asian_2024,total_2023,white_2023,black_2023,asian_2023,total_2022,white_2022,black_2022,asian_2022,total_2021,white_2021,black_2021,asian_2021,total_2020,white_2020,black_2020,asian_2020,White_Proportion_2024,Black_Proportion_2024,Asian_Proportion_2024,White_Proportion_2023,Black_Proportion_2023,Asian_Proportion_2023,White_Proportion_2022,Black_Proportion_2022,Asian_Proportion_2022,White_Proportion_2021,Black_Proportion_2021,Asian_Proportion_2021,White_Proportion_2020,Black_Proportion_2020,Asian_Proportion_2020
9014.09,9064,4058,2686,854,9185,4507,2531,1090,9046,4258,2323,1067,8770,4306,2443,1018,8290,4518,1960,957,44.77,29.63,9.42,49.07,27.56,11.87,47.07,25.68,11.8,49.1,27.86,11.61,54.5,23.64,11.54
9014.11,6049,3928,353,726,5901,3759,343,828,6030,3991,352,934,6137,3864,590,931,5948,4177,389,1004,64.94,5.84,12.0,63.7,5.81,14.03,66.19,5.84,15.49,62.96,9.61,15.17,70.23,6.54,16.88
9014.12,6825,4061,681,1050,7645,4810,688,830,7753,5289,689,643,7671,5314,625,669,7444,5048,745,783,59.5,9.98,15.38,62.92,9.0,10.86,68.22,8.89,8.29,69.27,8.15,8.72,67.81,10.01,10.52
9014.13,4625,2440,236,602,4321,2537,218,688,4425,2752,175,723,4254,2815,202,660,4218,2831,280,572,52.76,5.1,13.02,58.71,5.05,15.92,62.19,3.95,16.34,66.17,4.75,15.51,67.12,6.64,13.56
9014.14,5400,3546,738,326,5453,4035,534,374,5466,3706,630,540,5242,3626,582,511,5183,3665,498,465,65.67,13.67,6.04,74.0,9.79,6.86,67.8,11.53,9.88,69.17,11.1,9.75,70.71,9.61,8.97
9014.15,4689,3215,311,459,4498,3035,352,433,4403,3062,355,350,4526,3166,342,319,4433,3244,329,339,68.56,6.63,9.79,67.47,7.83,9.63,69.54,8.06,7.95,69.95,7.56,7.05,73.18,7.42,7.65
9014.16,5248,3512,338,563,5129,3485,409,510,5143,3428,565,465,4982,3651,516,374,5086,3656,807,336,66.92,6.44,10.73,67.95,7.97,9.94,66.65,10.99,9.04,73.28,10.36,7.51,71.88,15.87,6.61
9014.17,3134,2348,198,247,3054,2339,227,143,2914,2165,217,96,2666,2077,159,96,2535,2144,132,47,74.92,6.32,7.88,76.59,7.43,4.68,74.3,7.45,3.29,77.91,5.96,3.6,84.58,5.21,1.85
9014.18,5331,1345,1433,530,4338,1184,1328,425,4256,1669,1520,39,3885,2061,718,126,4060,1959,746,646,25.23,26.88,9.94,27.29,30.61,9.8,39.22,35.71,0.92,53.05,18.48,3.24,48.25,18.37,15.91
9014.19,3985,1150,762,418,3801,1644,705,274,3837,1885,782,274,4076,1949,870,255,4257,1894,909,243,28.86,19.12,10.49,43.25,18.55,7.21,49.13,20.38,7.14,47.82,21.34,6.26,44.49,21.35,5.71
9014.20,3923,2114,745,580,4184,2540,644,602,4328,2977,784,426,4273,2911,712,517,4495,2994,878,526,53.89,18.99,14.78,60.71,15.39,14.39,68.78,18.11,9.84,68.13,16.66,12.1,66.61,19.53,11.7
9014.21,5497,3618,624,816,5336,3338,753,751,5416,4090,611,417,5248,3670,356,877,4733,3460,211,686,65.82,11.35,14.84,62.56,14.11,14.07,75.52,11.28,7.7,69.93,6.78,16.71,73.1,4.46,14.49
9015.03,5695,4464,224,216,5509,4525,160,180,5327,4306,175,336,5351,4294,190,272,5320,4537,168,293,78.38,3.93,3.79,82.14,2.9,3.27,80.83,3.29,6.31,80.25,3.55,5.08,85.28,3.16,5.51
9015.04,4892,3266,746,460,4897,3466,716,423,4756,3458,672,369,4464,3334,424,434,4433,3395,426,341,66.76,15.25,9.4,70.78,14.62,8.64,72.71,14.13,7.76,74.69,9.5,9.72,76.58,9.61,7.69
9015.05,7574,4963,618,1119,7208,4911,581,1174,7237,5020,322,1231,7555,5298,348,1088,7301,5038,443,1149,65.53,8.16,14.77,68.13,8.06,16.29,69.37,4.45,17.01,70.13,4.61,14.4,69.0,6.07,15.74
9015.06,6590,2629,1106,1349,6803,2570,1570,1289,7010,2888,1582,1123,7071,3452,1544,763,7081,3631,1467,881,39.89,16.78,20.47,37.78,23.08,18.95,41.2,22.57,16.02,48.82,21.84,10.79,51.28,20.72,12.44
9015.07,2978,1618,251,416,2954,1661,294,360,2874,1793,278,257,2815,1678,434,305,2827,1801,503,249,54.33,8.43,13.97,56.23,9.95,12.19,62.39,9.67,8.94,59.61,15.42,10.83,63.71,17.79,8.81
9015.08,6261,3061,958,1316,6035,2815,1071,1293,5770,2716,876,1311,5898,2787,957,1489,5847,2993,985,1482,48.89,15.3,21.02,46.64,17.75,21.43,47.07,15.18,22.72,47.25,16.23,25.25,51.19,16.85,25.35
9015.09,8086,5268,1119,444,7915,5226,1246,425,7727,5580,716,456,7478,5620,531,480,6899,5376,529,357,65.15,13.84,5.49,66.03,15.74,5.37,72.21,9.27,5.9,75.15,7.1,6.42,77.92,7.67,5.17
9015.10,6049,3786,329,890,6380,4277,395,821,6476,4411,527,715,6383,4201,831,801,5997,4064,714,794,62.59,5.44,14.71,67.04,6.19,12.87,68.11,8.14,11.04,65.82,13.02,12.55,67.77,11.91,13.24
9015.11,4469,3539,371,223,4515,3856,181,208,4381,3732,182,294,4221,3431,298,302,3978,3220,479,149,79.19,8.3,4.99,85.4,4.01,4.61,85.19,4.15,6.71,81.28,7.06,7.15,80.95,12.04,3.75
9016.01,4367,1487,36,430,3651,1754,94,399,4688,2505,89,400,4146,2532,193,497,3973,2823,171,503,34.05,0.82,9.85,48.04,2.57,10.93,53.43,1.9,8.53,61.07,4.66,11.99,71.05,4.3,12.66
9016.02,7650,2769,936,531,7912,3911,906,622,8377,4632,1207,377,7986,5381,1143,468,8098,4850,1451,425,36.2,12.24,6.94,49.43,11.45,7.86,55.29,14.41,4.5,67.38,14.31,5.86,59.89,17.92,5.25
9017.02,4831,1887,58,98,4815,1931,49,98,4641,2371,84,135,4455,2225,49,140,4356,2302,57,146,39.06,1.2,2.03,40.1,1.02,2.04,51.09,1.81,2.91,49.94,1.1,3.14,52.85,1.31,3.35
9017.03,2750,915,167,147,2574,962,130,152,2418,1225,125,198,2770,1312,98,102,2518,1170,144,134,33.27,6.07,5.35,37.37,5.05,5.91,50.66,5.17,8.19,47.36,3.54,3.68,46.47,5.72,5.32
9017.04,7269,3176,523,566,7116,4516,528,864,6582,4008,493,1036,7151,4390,510,966,6971,4184,614,522,43.69,7.19,7.79,63.46,7.42,12.14,60.89,7.49,15.74,61.39,7.13,13.51,60.02,8.81,7.49
9019,7256,2769,551,955,8141,4644,580,691,7729,4341,1045,888,7155,4733,688,802,6702,4306,1055,525,38.16,7.59,13.16,57.04,7.12,8.49,56.17,13.52,11.49,66.15,9.62,11.21,64.25,15.74,7.83
9801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
