ID,STATE_NAME,ST_ABBREV,CNTY_NAME,ACSTOTPOP,ACSIPOVBAS,ACSEDUCBAS,ACSTOTHH,ACSTOTHU,ACSUNEMPBAS,ACSDISABBAS,DEMOGIDX_2,DEMOGIDX_5,PEOPCOLOR,PEOPCOLORPCT,LOWINCOME,LOWINCPCT,UNEMPLOYED,UNEMPPCT,DISABILITY,DISABILITYPCT,LINGISO,LINGISOPCT,LESSHS,LESSHSPCT,UNDER5,UNDER5PCT,OVER64,OVER64PCT,LIFEEXPPCT,PM25,OZONE,DSLPM,RSEI_AIR,PTRAF,PRE1960,PRE1960PCT,PNPL,PRMP,PTSDF,UST,PWDIS,NO2,DWATER,Shape_Length,Shape_Area
51153900804,VIRGINIA,VA,Prince William County,5694,5694,3606,1866,1866,3412,5583,1.757978598,0.865331602,4286,0.752722164,402,0.070600632,178,0.052168816,456,0.081676518,34,0.018220793,233,0.064614531,560,0.098349139,366,0.064278188,,7.024996448,55.32433,0.15388705,63.82219524,549528.9028,16,0.008574491,0.410134344,0,0.473868267,0,5072.237106,4.198051573,0,0.150594265,0.000748619
51153900901,VIRGINIA,VA,Prince William County,6033,6026,3547,1941,2097,3364,5911,2.461942668,1.813085704,4585,0.75998674,1793,0.297543976,159,0.047265161,438,0.074099137,83,0.042761463,744,0.209754722,311,0.051549809,453,0.075087021,0.209230769,7.024476503,54.8924,0.15422515,43.64059141,617775.3796,315,0.150214592,0.818762251,0,0.404154444,1.668831907,4292.497404,5.347383539,0,0.109899121,0.00034153
51153900904,VIRGINIA,VA,Prince William County,6634,6611,4027,1768,1883,3640,6578,1.827663931,0.764051237,5073,0.764697015,565,0.085463621,166,0.045604396,345,0.052447552,50,0.028280543,181,0.04494661,358,0.053964426,327,0.049291528,,6.989775683,55.0882,0.144219387,66.94235433,530888.8414,86,0.0456718,0.60977887,0,0.457200488,1.287070259,5345.34055,4.376006727,0,0.19971142,0.001312229
51153900905,VIRGINIA,VA,Prince William County,6152,6126,4054,1831,1929,3116,6088,2.103799912,1.281945364,4527,0.735858257,1200,0.195886386,339,0.108793325,822,0.135019711,49,0.026761333,285,0.070300937,511,0.083062419,675,0.109720416,0.183589744,6.988679508,54.78707,0.105171752,58.06339028,378613.9247,226,0.11715915,3.372635011,0,0.610764259,0.390342632,5690.108559,4.40406457,0,0.109128878,0.000567767
51153901005,VIRGINIA,VA,Prince William County,6623,6613,4222,1901,1901,3703,6562,1.066753332,0.657633659,2944,0.444511551,338,0.051111447,150,0.040507696,352,0.053642182,35,0.018411362,107,0.025343439,379,0.057224823,280,0.042276914,0.175384615,7.150998907,54.54996,0.139790394,23.75098068,466236.6797,4,0.002104156,0.263333754,0,0,0.143134103,22.11230586,4.580749549,0,0.108170067,0.000527978
51153901009,VIRGINIA,VA,Prince William County,7436,7436,4516,2239,2239,3294,7251,1.121931961,0.710279277,3396,0.456697149,454,0.06105433,75,0.02276867,662,0.091297752,20,0.008932559,206,0.045615589,520,0.06993007,790,0.106239914,0.157948718,7.176833333,54.95034,0.148521017,26.71695376,634993.6713,23,0.010272443,0.16650453,0,0,0.108358093,157.4252248,5.311493204,0,0.121191091,0.000487176
51153901010,VIRGINIA,VA,Prince William County,4906,4906,3147,1401,1467,2610,4843,1.000571338,0.689795634,2028,0.413371382,247,0.050346514,152,0.058237548,438,0.09043981,0,0,54,0.017159199,524,0.10680799,535,0.109050143,0.180512821,7.151104372,54.93834,0.151137401,29.21284243,666055.5656,0,0,0.173797749,0,0,0.210734162,356.4940379,5.838832018,0,0.101217804,0.000303186
51153901011,VIRGINIA,VA,Prince William County,6257,6257,4220,1889,1958,3426,6141,1.620969496,0.885674514,3862,0.617228704,732,0.116988972,198,0.057793345,527,0.085816642,55,0.029115934,223,0.052843602,482,0.077033722,526,0.084065846,0.161025641,7.164756284,55.15872,0.160104358,33.38719093,870125.5679,6,0.003064351,0.201523888,0,0.031362847,0,1935.718101,5.840134244,0,0.114008155,0.000399691
51153901012,VIRGINIA,VA,Prince William County,3484,3436,2809,1634,1703,1389,3450,1.286879804,1.349847394,1242,0.356486797,629,0.1830617,46,0.033117351,632,0.183188406,38,0.023255814,193,0.068707725,224,0.064293915,1513,0.434270953,0.175384615,7.119189891,55.07797,0.169051405,38.64243346,847446.4844,49,0.028772754,0.284355968,0,0.203785448,1.396550406,2786.160893,5.745440728,0,0.105329803,0.00046407
51153901013,VIRGINIA,VA,Prince William County,3349,3349,2140,1120,1160,1754,3322,2.454002124,1.651438213,2604,0.777545536,948,0.283069573,29,0.016533637,257,0.077363034,86,0.076785714,236,0.110280374,196,0.058524933,193,0.057629143,,7.060565847,54.89499,0.185124713,38.00409591,1132619.329,55,0.047413793,0.45607832,0,0.27172252,3.766458372,3371.522564,5.905947048,0,0.072099107,0.000257992
