OBJECTID,Document Nbr,Crash Year,Crash Date,Crash Military Time,Crash Severity,K_People,A_People,B_People,C_People,Persons Injured,Pedestrians Killed,Pedestrians Injured,Vehicle Count,Collision Type,Weather Condition,Light Condition,Roadway Surface Condition,Relation To Roadway,Roadway Alignment,Roadway Surface Type,Roadway Defect,Roadway Description,Intersection Type,Traffic Control Type,Traffic Control Status,Work Zone Related,Work Zone Location,Work Zone Type,School Zone,First Harmful Event,First Harmful Event Loc,Alcohol?,Animal Related?,Unrestrained?,Bike?,Distracted?,Drowsy?,Drug Related?,Guardrail Related?,Hitrun?,Lgtruck?,Motorcycle?,Pedestrian?,Speed?,Max Speed Diff,RoadDeparture Type,Intersection Analysis,Senior?,Young?,Mainline?,Night?,VDOT District,Juris Code,Physical Juris Name,Functional Class,Facility Type,Area Type,SYSTEM,VSP,Ownership,Planning District,MPO Name,RTE Name,RNS MP,Node,Node Offset (ft),x,y,Crash_Severity,type_severity,Type_severity
170604,173105229,2017,11/2/2017 4:00:00 AM,820,B,0,0,1,1,2,0,0,2,2. Angle,1. No Adverse Condition (Clear/Cloudy),2. Daylight,1. Dry,9. Within Intersection,1. Straight - Level,"2. Blacktop, Asphalt, Bituminous",1. No Defects,"1. Two-Way, Not Divided",3. Three Approaches,4. Stop Sign,1. Yes - Working,2. No,,,3. No,20. Motor Vehicle In Transport,1. On Roadway,No,No,Belted,No,Yes,No,No,No,No,No,No,No,No,,NOT_RD,VDOT Intersection,No,No,Yes,No,9. Northern Virginia,76,076. Prince William County,"4-Minor Arterial (H,3)",3-Two-Way Undivided,Rural,VDOT Primary,7,1. State Hwy Agency,Northern Virginia,NOVA,R-VA   SR00028SB,13.92,546030.0,16.38,-77.6161014899999,38.689632175,Visible Injury,All Other,All Other
170623,171395099,2017,5/9/2017 4:00:00 AM,727,B,0,0,2,0,2,0,0,2,3. Head On,1. No Adverse Condition (Clear/Cloudy),2. Daylight,1. Dry,9. Within Intersection,1. Straight - Level,"2. Blacktop, Asphalt, Bituminous",1. No Defects,"1. Two-Way, Not Divided",3. Three Approaches,4. Stop Sign,1. Yes - Working,2. No,,,3. No,20. Motor Vehicle In Transport,1. On Roadway,No,No,Unbelted,No,Yes,No,No,No,No,Yes,No,No,No,,NOT_RD,VDOT Intersection,No,Yes,Yes,No,9. Northern Virginia,76,076. Prince William County,"5-Major Collector (I,4)",3-Two-Way Undivided,Rural,VDOT Secondary,7,1. State Hwy Agency,Northern Virginia,NOVA,R-VA076SC00605EB,0.65,546030.0,46.25,-77.616172766,38.689728351,Visible Injury,All Other,All Other
170772,171375164,2017,5/12/2017 4:00:00 AM,14,B,0,0,1,1,2,0,0,2,2. Angle,1. No Adverse Condition (Clear/Cloudy),2. Daylight,1. Dry,9. Within Intersection,1. Straight - Level,"2. Blacktop, Asphalt, Bituminous",1. No Defects,"3. Two-Way, Divided, Positive Median Barrier",3. Three Approaches,6. Traffic Lanes Marked,1. Yes - Working,2. No,,,1. Yes,20. Motor Vehicle In Transport,1. On Roadway,No,No,Belted,No,No,No,No,No,No,No,No,No,No,,NOT_RD,VDOT Intersection,No,No,Yes,No,9. Northern Virginia,76,076. Prince William County,"3-Principal Arterial - Other (E,2)",4-Two-Way Divided,Urban,VDOT Primary,7,1. State Hwy Agency,Northern Virginia,NOVA,R-VA   SR00294WB,15.65,1273588.0,22.13,-77.265316817,38.6512795530001,Visible Injury,All Other,All Other
171079,171535145,2017,5/31/2017 4:00:00 AM,1549,B,0,0,1,0,1,0,1,1,12. Ped,1. No Adverse Condition (Clear/Cloudy),2. Daylight,1. Dry,9. Within Intersection,1. Straight - Level,"2. Blacktop, Asphalt, Bituminous",1. No Defects,"2. Two-Way, Divided, Unprotected Median",4. Four Approaches,3. Traffic Signal,1. Yes - Working,2. No,,,3. No,19. Ped,1. On Roadway,No,No,Belted,No,No,No,No,No,No,No,No,Yes,No,,NOT_RD,VDOT Intersection,No,No,Yes,No,9. Northern Virginia,76,076. Prince William County,"4-Minor Arterial (H,3)",4-Two-Way Divided,Urban,VDOT Secondary,7,1. State Hwy Agency,Northern Virginia,NOVA,R-VA076SC02000EB,3.32,548729.0,26.58,-77.3014076549999,38.644014322,Visible Injury,Pedestrian-related,Pedestrian-related
171101,172125083,2017,6/27/2017 4:00:00 AM,1415,B,0,0,1,0,1,0,0,2,1. Rear End,1. No Adverse Condition (Clear/Cloudy),2. Daylight,1. Dry,9. Within Intersection,1. Straight - Level,"2. Blacktop, Asphalt, Bituminous",1. No Defects,"1. Two-Way, Not Divided",4. Four Approaches,6. Traffic Lanes Marked,1. Yes - Working,2. No,,,3. No,20. Motor Vehicle In Transport,1. On Roadway,No,No,Belted,No,Yes,No,No,No,No,No,No,No,No,,NOT_RD,VDOT Intersection,No,No,Yes,No,9. Northern Virginia,76,076. Prince William County,"4-Minor Arterial (H,3)",3-Two-Way Undivided,Rural,VDOT Primary,7,1. State Hwy Agency,Northern Virginia,NOVA,R-VA   US00029SB,221.93,546143.0,86.29,-77.5486128479999,38.8128334300001,Visible Injury,All Other,All Other
171248,172935367,2017,10/19/2017 4:00:00 AM,1258,B,0,0,2,1,3,0,0,3,2. Angle,1. No Adverse Condition (Clear/Cloudy),2. Daylight,1. Dry,11. Intersection Related - Outside 150 Feet,1. Straight - Level,"2. Blacktop, Asphalt, Bituminous",1. No Defects,"2. Two-Way, Divided, Unprotected Median",4. Four Approaches,6. Traffic Lanes Marked,1. Yes - Working,2. No,,,3. No,20. Motor Vehicle In Transport,3. Median,No,No,Belted,No,No,No,No,No,No,No,No,No,No,,RD_UNKNOWN,Not Intersection,No,No,Yes,No,9. Northern Virginia,76,076. Prince William County,"3-Principal Arterial - Other (E,2)",4-Two-Way Divided,Urban,VDOT Primary,7,1. State Hwy Agency,Northern Virginia,NOVA,R-VA   US00029NB,218.14,,,-77.6149212399999,38.7953588610001,Visible Injury,All Other,All Other
171446,180165500,2017,12/28/2017 5:00:00 AM,1400,B,0,0,1,2,3,0,0,3,1. Rear End,1. No Adverse Condition (Clear/Cloudy),2. Daylight,1. Dry,10. Intersection Related - Within 150 Feet,1. Straight - Level,"2. Blacktop, Asphalt, Bituminous",1. No Defects,"3. Two-Way, Divided, Positive Median Barrier",4. Four Approaches,3. Traffic Signal,1. Yes - Working,2. No,,,3. No,20. Motor Vehicle In Transport,1. On Roadway,No,No,Belted,No,Yes,No,No,No,No,No,No,No,Yes,5.0,NOT_RD,VDOT Intersection,No,Yes,Yes,No,9. Northern Virginia,76,076. Prince William County,"5-Major Collector (I,4)",4-Two-Way Divided,Urban,VDOT Secondary,7,1. State Hwy Agency,Northern Virginia,NOVA,R-VA076SC00643EB,6.43,753385.0,81.43,-77.377194808,38.6354352490001,Visible Injury,All Other,All Other
171684,172005116,2017,7/18/2017 4:00:00 AM,155,A,0,1,0,0,1,0,0,4,16. Other,1. No Adverse Condition (Clear/Cloudy),5. Darkness - Road Not Lighted,1. Dry,8. Non-Intersection,2. Curve - Level,"2. Blacktop, Asphalt, Bituminous",1. No Defects,"1. Two-Way, Not Divided",1. Not at Intersection,1. No Traffic Control,6. No Traffic Control Device Present,2. No,,,3. No,20. Motor Vehicle In Transport,1. On Roadway,Yes,No,Belted,No,No,No,No,No,Yes,No,No,No,Yes,10.0,NOT_RD,VDOT Intersection,No,No,Yes,Yes,9. Northern Virginia,76,076. Prince William County,6-Minor Collector (5),3-Two-Way Undivided,Urban,VDOT Secondary,7,1. State Hwy Agency,Northern Virginia,NOVA,R-VA076SC01567EB,0.63,547495.0,203.56,-77.498606019,38.7933137050001,Severe Injury,All Other,All Other
171715,172195122,2017,8/3/2017 4:00:00 AM,900,B,0,0,2,0,2,0,0,3,2. Angle,1. No Adverse Condition (Clear/Cloudy),2. Daylight,1. Dry,9. Within Intersection,3. Grade - Straight,"2. Blacktop, Asphalt, Bituminous",1. No Defects,"2. Two-Way, Divided, Unprotected Median",4. Four Approaches,3. Traffic Signal,1. Yes - Working,2. No,,,3. No,20. Motor Vehicle In Transport,1. On Roadway,No,No,Belted,No,No,No,No,No,No,No,No,No,No,,NOT_RD,VDOT Intersection,Yes,No,Yes,No,9. Northern Virginia,76,076. Prince William County,"3-Principal Arterial - Other (E,2)",3-Two-Way Undivided,Urban,VDOT Primary,7,1. State Hwy Agency,Northern Virginia,NOVA,R-VA   US00001NB,174.32,546610.0,9.73,-77.2673697559999,38.6394824160001,Visible Injury,All Other,All Other
171804,171605087,2017,6/8/2017 4:00:00 AM,2159,B,0,0,1,0,1,0,0,1,9. Fixed Object - Off Road,1. No Adverse Condition (Clear/Cloudy),5. Darkness - Road Not Lighted,1. Dry,8. Non-Intersection,5. Hillcrest - Straight,"2. Blacktop, Asphalt, Bituminous",1. No Defects,"2. Two-Way, Divided, Unprotected Median",1. Not at Intersection,6. Traffic Lanes Marked,1. Yes - Working,2. No,,,3. No,2. Trees,3. Median,No,Yes,Belted,No,No,No,No,No,No,No,No,No,Yes,5.0,RD_UNKNOWN,Not Intersection,No,Yes,Yes,Yes,9. Northern Virginia,76,076. Prince William County,"5-Major Collector (I,4)",4-Two-Way Divided,Urban,VDOT Secondary,7,1. State Hwy Agency,Northern Virginia,NOVA,R-VA076SC01392EB,0.55,547196.0,267.45,-77.2731271,38.6172218780001,Visible Injury,All Other,All Other
171829,172595115,2017,9/15/2017 4:00:00 AM,1900,B,0,0,2,0,2,0,0,2,1. Rear End,1. No Adverse Condition (Clear/Cloudy),3. Dusk,1. Dry,8. Non-Intersection,1. Straight - Level,"2. Blacktop, Asphalt, Bituminous",1. No Defects,"2. Two-Way, Divided, Unprotected Median",1. Not at Intersection,6. Traffic Lanes Marked,1. Yes - Working,2. No,,,3. No,20. Motor Vehicle In Transport,1. On Roadway,No,No,Belted,No,No,No,No,No,No,No,No,No,No,,NOT_RD,VDOT Intersection,No,No,Yes,No,9. Northern Virginia,76,076. Prince William County,2-Principal Arterial - Other Freeways and Expressways (B),4-Two-Way Divided,Urban,VDOT Primary,7,1. State Hwy Agency,Northern Virginia,NOVA,R-VA   SR00294WB,1.91,549542.0,162.38,-77.450973817,38.739920291,Visible Injury,All Other,All Other
171855,172995081,2017,10/24/2017 4:00:00 AM,1751,A,0,1,2,0,3,0,0,2,1. Rear End,1. No Adverse Condition (Clear/Cloudy),3. Dusk,1. Dry,8. Non-Intersection,2. Curve - Level,"2. Blacktop, Asphalt, Bituminous",1. No Defects,"2. Two-Way, Divided, Unprotected Median",1. Not at Intersection,6. Traffic Lanes Marked,1. Yes - Working,2. No,,,3. No,20. Motor Vehicle In Transport,1. On Roadway,No,No,Belted,No,Yes,Yes,No,No,No,No,No,No,No,,NOT_RD,Not Intersection,No,Yes,Yes,No,9. Northern Virginia,76,076. Prince William County,2-Principal Arterial - Other Freeways and Expressways (B),4-Two-Way Divided,Urban,VDOT Primary,7,1. State Hwy Agency,Northern Virginia,NOVA,R-VA   SR00294EB,3.49,,,-77.425601624,38.732638196,Severe Injury,All Other,All Other
171870,171055242,2017,4/10/2017 4:00:00 AM,1559,B,0,0,1,0,1,0,0,2,1. Rear End,1. No Adverse Condition (Clear/Cloudy),2. Daylight,1. Dry,8. Non-Intersection,4. Grade - Curve,"2. Blacktop, Asphalt, Bituminous",1. No Defects,"3. Two-Way, Divided, Positive Median Barrier",1. Not at Intersection,6. Traffic Lanes Marked,1. Yes - Working,2. No,,,3. No,20. Motor Vehicle In Transport,1. On Roadway,No,No,Belted,No,No,No,No,No,No,No,No,No,No,,NOT_RD,Not Intersection,No,No,Yes,No,9. Northern Virginia,76,076. Prince William County,"1-Interstate (A,1)",4-Two-Way Divided,Urban,VDOT Interstate,7,1. State Hwy Agency,Northern Virginia,NOVA,R-VA   IS00095NB,159.53,,,-77.27484634,38.6638680890001,Visible Injury,All Other,All Other
171874,171245068,2017,4/30/2017 4:00:00 AM,925,B,0,0,5,0,5,0,0,2,2. Angle,1. No Adverse Condition (Clear/Cloudy),2. Daylight,1. Dry,9. Within Intersection,1. Straight - Level,"2. Blacktop, Asphalt, Bituminous",1. No Defects,"2. Two-Way, Divided, Unprotected Median",4. Four Approaches,3. Traffic Signal,1. Yes - Working,2. No,,,3. No,20. Motor Vehicle In Transport,1. On Roadway,No,No,Belted,No,No,No,No,No,No,No,No,No,No,,NOT_RD,VDOT Intersection,Yes,No,Yes,No,9. Northern Virginia,76,076. Prince William County,"4-Minor Arterial (H,3)",4-Two-Way Divided,Urban,VDOT Primary,7,1. State Hwy Agency,Northern Virginia,NOVA,R-VA   US00029SB,219.34,1264625.0,62.27,-77.5938147109999,38.801093414,Visible Injury,All Other,All Other
172125,171155183,2017,2/22/2017 5:00:00 AM,1215,A,0,1,1,0,2,0,0,2,2. Angle,1. No Adverse Condition (Clear/Cloudy),2. Daylight,1. Dry,9. Within Intersection,1. Straight - Level,"2. Blacktop, Asphalt, Bituminous",1. No Defects,"2. Two-Way, Divided, Unprotected Median",4. Four Approaches,4. Stop Sign,1. Yes - Working,2. No,,,3. No,20. Motor Vehicle In Transport,1. On Roadway,No,No,Unbelted,No,No,No,No,No,No,No,No,No,Yes,3.0,NOT_RD,VDOT Intersection,No,No,Yes,No,9. Northern Virginia,76,076. Prince William County,"4-Minor Arterial (H,3)",4-Two-Way Divided,Urban,VDOT Secondary,7,1. State Hwy Agency,Northern Virginia,NOVA,R-VA076SC01566EB,4.02,751834.0,15.12,-77.53499777,38.7712880650001,Severe Injury,All Other,All Other
172145,171156269,2017,4/23/2017 4:00:00 AM,1829,B,0,0,1,0,1,0,0,1,9. Fixed Object - Off Road,5. Rain,2. Daylight,2. Wet,8. Non-Intersection,4. Grade - Curve,"2. Blacktop, Asphalt, Bituminous",1. No Defects,"2. Two-Way, Divided, Unprotected Median",1. Not at Intersection,6. Traffic Lanes Marked,1. Yes - Working,2. No,,,3. No,1. Bank Or Ledge,2. Shoulder,Yes,No,Belted,No,Yes,No,No,No,No,No,No,No,Yes,15.0,RD_RIGHT,Not Intersection,No,No,Yes,No,9. Northern Virginia,76,076. Prince William County,"5-Major Collector (I,4)",3-Two-Way Undivided,Urban,VDOT Secondary,7,1. State Hwy Agency,Northern Virginia,NOVA,R-VA076SC00692SB,0.65,,,-77.4944378119999,38.698015169,Visible Injury,All Other,All Other
172220,173455214,2017,11/30/2017 5:00:00 AM,1230,A,0,1,0,1,2,0,1,1,12. Ped,1. No Adverse Condition (Clear/Cloudy),2. Daylight,1. Dry,8. Non-Intersection,3. Grade - Straight,"2. Blacktop, Asphalt, Bituminous",1. No Defects,"2. Two-Way, Divided, Unprotected Median",1. Not at Intersection,7. No Passing Lines,6. No Traffic Control Device Present,2. No,,,3. No,19. Ped,1. On Roadway,No,No,Belted,No,No,No,No,No,No,No,No,Yes,No,,NOT_RD,VDOT Intersection,No,No,Yes,No,9. Northern Virginia,76,076. Prince William County,"5-Major Collector (I,4)",3-Two-Way Undivided,Urban,VDOT Secondary,7,1. State Hwy Agency,Northern Virginia,NOVA,R-VA076SC01279EB,2.63,547041.0,191.93,-77.2600047999999,38.643780092,Severe Injury,Pedestrian-related,Pedestrian-related
172231,172105020,2017,7/28/2017 4:00:00 AM,2350,B,0,0,1,0,1,0,0,2,2. Angle,5. Rain,7. Unknown,2. Wet,8. Non-Intersection,1. Straight - Level,"2. Blacktop, Asphalt, Bituminous",1. No Defects,"3. Two-Way, Divided, Positive Median Barrier",1. Not at Intersection,6. Traffic Lanes Marked,1. Yes - Working,2. No,,,3. No,20. Motor Vehicle In Transport,1. On Roadway,No,No,Belted,No,No,No,No,Yes,No,No,No,No,No,,NOT_RD,Not Intersection,No,No,Yes,No,9. Northern Virginia,76,076. Prince William County,"1-Interstate (A,1)",4-Two-Way Divided,Urban,VDOT Interstate,7,1. State Hwy Agency,Northern Virginia,NOVA,R-VA   IS00066WB,46.69,,,-77.5349389419999,38.800611014,Visible Injury,All Other,All Other
172368,172895137,2017,9/25/2017 4:00:00 AM,1806,B,0,0,1,0,1,0,0,2,2. Angle,1. No Adverse Condition (Clear/Cloudy),1. Dawn,1. Dry,9. Within Intersection,1. Straight - Level,"2. Blacktop, Asphalt, Bituminous",1. No Defects,"3. Two-Way, Divided, Positive Median Barrier",3. Three Approaches,3. Traffic Signal,1. Yes - Working,2. No,,,3. No,20. Motor Vehicle In Transport,1. On Roadway,No,No,Belted,No,No,No,No,No,No,No,No,No,No,,NOT_RD,VDOT Intersection,No,Yes,Yes,No,9. Northern Virginia,76,076. Prince William County,"5-Major Collector (I,4)",4-Two-Way Divided,Urban,VDOT Secondary,7,1. State Hwy Agency,Northern Virginia,NOVA,R-VA076SC01600SB,1.52,704408.0,55.35,-77.517014827,38.7819550950001,Visible Injury,All Other,All Other
172506,171615188,2017,6/8/2017 4:00:00 AM,2130,B,0,0,1,0,1,0,0,2,1. Rear End,1. No Adverse Condition (Clear/Cloudy),2. Daylight,1. Dry,1. Main-Line Roadway,1. Straight - Level,"2. Blacktop, Asphalt, Bituminous",1. No Defects,"3. Two-Way, Divided, Positive Median Barrier",1. Not at Intersection,6. Traffic Lanes Marked,1. Yes - Working,2. No,,,3. No,20. Motor Vehicle In Transport,1. On Roadway,No,No,Belted,No,No,No,No,No,No,No,No,No,Yes,5.0,NOT_RD,Not Intersection,No,Yes,Yes,No,9. Northern Virginia,76,076. Prince William County,"1-Interstate (A,1)",4-Two-Way Divided,Urban,VDOT Interstate,7,1. State Hwy Agency,Northern Virginia,NOVA,R-VA   IS00095SB,158.53,,,-77.2842775,38.6489361610001,Visible Injury,All Other,All Other
172508,171705102,2017,6/8/2017 4:00:00 AM,1100,B,0,0,1,1,2,0,0,2,1. Rear End,5. Rain,2. Daylight,2. Wet,10. Intersection Related - Within 150 Feet,1. Straight - Level,"2. Blacktop, Asphalt, Bituminous",1. No Defects,"2. Two-Way, Divided, Unprotected Median",4. Four Approaches,3. Traffic Signal,1. Yes - Working,2. No,,,3. No,20. Motor Vehicle In Transport,1. On Roadway,No,No,Belted,No,No,No,No,No,No,No,No,No,No,,NOT_RD,VDOT Intersection,No,No,Yes,No,9. Northern Virginia,76,076. Prince William County,"4-Minor Arterial (H,3)",4-Two-Way Divided,Urban,VDOT Secondary,7,1. State Hwy Agency,Northern Virginia,NOVA,R-VA076SC00641WB,4.72,1094391.0,103.52,-77.25976661,38.67285887,Visible Injury,All Other,All Other
172722,171155556,2017,2/6/2017 5:00:00 AM,1545,B,0,0,1,0,1,0,0,3,1. Rear End,1. No Adverse Condition (Clear/Cloudy),2. Daylight,1. Dry,1. Main-Line Roadway,5. Hillcrest - Straight,"2. Blacktop, Asphalt, Bituminous",1. No Defects,"1. Two-Way, Not Divided",1. Not at Intersection,1. No Traffic Control,6. No Traffic Control Device Present,2. No,,,3. No,20. Motor Vehicle In Transport,1. On Roadway,No,No,Belted,No,No,No,No,No,No,No,No,No,No,,NOT_RD,Not Intersection,No,No,Yes,No,9. Northern Virginia,76,076. Prince William County,"4-Minor Arterial (H,3)",3-Two-Way Undivided,Urban,VDOT Primary,7,1. State Hwy Agency,Northern Virginia,NOVA,R-VA   US00029SB,223.58,,,-77.5196895829999,38.8202729500001,Visible Injury,All Other,All Other
172746,171155488,2017,1/30/2017 5:00:00 AM,954,B,0,0,1,0,1,0,0,2,2. Angle,1. No Adverse Condition (Clear/Cloudy),2. Daylight,2. Wet,1. Main-Line Roadway,1. Straight - Level,"2. Blacktop, Asphalt, Bituminous",1. No Defects,"1. Two-Way, Not Divided",1. Not at Intersection,1. No Traffic Control,6. No Traffic Control Device Present,2. No,,,3. No,20. Motor Vehicle In Transport,2. Shoulder,No,No,Belted,No,No,No,No,No,No,No,No,No,No,,RD_UNKNOWN,Not Intersection,No,No,Yes,No,9. Northern Virginia,76,076. Prince William County,"7-Local (J,6)",3-Two-Way Undivided,Urban,VDOT Secondary,7,1. State Hwy Agency,Northern Virginia,NOVA,R-VA076SC01357WB,0.56,,,-77.256928924,38.6293796,Visible Injury,All Other,All Other
172766,172425155,2017,8/29/2017 4:00:00 AM,1458,C,0,0,0,1,1,0,0,1,9. Fixed Object - Off Road,5. Rain,2. Daylight,2. Wet,8. Non-Intersection,4. Grade - Curve,"2. Blacktop, Asphalt, Bituminous",7. Slick Pavement,"1. Two-Way, Not Divided",1. Not at Intersection,1. No Traffic Control,6. No Traffic Control Device Present,2. No,,,3. No,13. Curb,1. On Roadway,No,No,Belted,No,No,No,No,No,No,No,No,No,No,,RD_RIGHT,Not Intersection,No,No,Yes,No,9. Northern Virginia,76,076. Prince William County,"7-Local (J,6)",3-Two-Way Undivided,Urban,VDOT Secondary,7,1. State Hwy Agency,Northern Virginia,NOVA,R-VA076SC01898EB,0.19,,,-77.338251231,38.6378267490001,Nonvisible Injury,All Other,All Other
172940,171155457,2017,2/24/2017 5:00:00 AM,1833,B,0,0,1,0,1,0,0,2,1. Rear End,1. No Adverse Condition (Clear/Cloudy),2. Daylight,1. Dry,8. Non-Intersection,3. Grade - Straight,"2. Blacktop, Asphalt, Bituminous",1. No Defects,"3. Two-Way, Divided, Positive Median Barrier",1. Not at Intersection,6. Traffic Lanes Marked,1. Yes - Working,2. No,,,3. No,20. Motor Vehicle In Transport,1. On Roadway,No,No,Belted,No,No,No,No,No,No,No,No,No,No,,NOT_RD,VDOT Intersection,Yes,Yes,Yes,No,9. Northern Virginia,76,076. Prince William County,"3-Principal Arterial - Other (E,2)",4-Two-Way Divided,Urban,VDOT Primary,7,1. State Hwy Agency,Northern Virginia,NOVA,R-VA   US00029NB,217.84,726957.0,202.41,-77.619646303,38.794045554,Visible Injury,All Other,All Other
172967,170175055,2017,1/10/2017 5:00:00 AM,1530,B,0,0,1,0,1,0,0,2,2. Angle,1. No Adverse Condition (Clear/Cloudy),2. Daylight,1. Dry,9. Within Intersection,1. Straight - Level,"2. Blacktop, Asphalt, Bituminous",1. No Defects,"2. Two-Way, Divided, Unprotected Median",4. Four Approaches,4. Stop Sign,1. Yes - Working,2. No,,,3. No,20. Motor Vehicle In Transport,1. On Roadway,No,No,Belted,No,No,No,No,No,No,No,No,No,No,,NOT_RD,VDOT Intersection,Yes,Yes,Yes,No,9. Northern Virginia,76,076. Prince William County,2-Principal Arterial - Other Freeways and Expressways (B),4-Two-Way Divided,Urban,VDOT Primary,7,1. State Hwy Agency,Northern Virginia,NOVA,R-VA   SR00294EB,6.36,726060.0,9.98,-77.401136768,38.6977613560001,Visible Injury,All Other,All Other
173016,173475149,2017,12/11/2017 5:00:00 AM,1715,A,0,1,0,1,2,0,0,2,1. Rear End,1. No Adverse Condition (Clear/Cloudy),5. Darkness - Road Not Lighted,1. Dry,8. Non-Intersection,1. Straight - Level,"2. Blacktop, Asphalt, Bituminous",1. No Defects,"2. Two-Way, Divided, Unprotected Median",1. Not at Intersection,6. Traffic Lanes Marked,1. Yes - Working,2. No,,,3. No,20. Motor Vehicle In Transport,1. On Roadway,No,No,Belted,No,Yes,No,No,No,No,Yes,No,No,No,,NOT_RD,Not Intersection,No,No,Yes,Yes,9. Northern Virginia,76,076. Prince William County,"5-Major Collector (I,4)",3-Two-Way Undivided,Rural,VDOT Primary,7,1. State Hwy Agency,Northern Virginia,NOVA,R-VA   SR00234NB,29.52,,,-77.552578577,38.8478678430001,Severe Injury,All Other,All Other
173035,171155697,2017,3/2/2017 5:00:00 AM,1852,B,0,0,2,0,2,0,0,2,2. Angle,1. No Adverse Condition (Clear/Cloudy),4. Darkness - Road Lighted,1. Dry,9. Within Intersection,1. Straight - Level,"2. Blacktop, Asphalt, Bituminous",1. No Defects,"1. Two-Way, Not Divided",3. Three Approaches,4. Stop Sign,1. Yes - Working,2. No,,,3. No,20. Motor Vehicle In Transport,1. On Roadway,No,No,Belted,No,No,No,No,No,No,No,No,No,No,,NOT_RD,VDOT Intersection,No,No,Yes,Yes,9. Northern Virginia,76,076. Prince William County,"7-Local (J,6)",3-Two-Way Undivided,Urban,VDOT Secondary,7,1. State Hwy Agency,Northern Virginia,NOVA,R-VA076SC02498WB,0.0,719754.0,0.0,-77.2791521349999,38.676021039,Visible Injury,All Other,All Other
173220,173505057,2017,12/10/2017 5:00:00 AM,2001,B,0,0,1,0,1,0,0,2,1. Rear End,1. No Adverse Condition (Clear/Cloudy),5. Darkness - Road Not Lighted,1. Dry,5. On Entrance/Exit Ramp,10. On/Off Ramp,"2. Blacktop, Asphalt, Bituminous",1. No Defects,"4. One-Way, Not Divided",1. Not at Intersection,6. Traffic Lanes Marked,1. Yes - Working,2. No,,,3. No,20. Motor Vehicle In Transport,2. Shoulder,No,No,Belted,No,No,No,No,No,No,No,No,No,No,,RD_UNKNOWN,Not Intersection,Yes,No,Yes,Yes,9. Northern Virginia,76,076. Prince William County,"4-Minor Arterial (H,3)",4-Two-Way Divided,Urban,VDOT Secondary,7,1. State Hwy Agency,Northern Virginia,NOVA,R-VA076SC00784WB,7.1,,,-77.2935896989999,38.628381448,Visible Injury,All Other,All Other
173245,173465255,2017,12/8/2017 5:00:00 AM,1126,B,0,0,1,0,1,0,0,1,9. Fixed Object - Off Road,1. No Adverse Condition (Clear/Cloudy),2. Daylight,1. Dry,8. Non-Intersection,1. Straight - Level,"2. Blacktop, Asphalt, Bituminous",1. No Defects,"3. Two-Way, Divided, Positive Median Barrier",1. Not at Intersection,6. Traffic Lanes Marked,1. Yes - Working,2. No,,,3. No,5. Guard Rail,1. On Roadway,No,No,Belted,No,No,No,No,Yes,No,No,No,No,Yes,5.0,RD_LEFT,Not Intersection,No,No,No,No,9. Northern Virginia,76,076. Prince William County,"1-Interstate (A,1)",1-One-Way Undivided,Urban,VDOT Interstate,7,1. State Hwy Agency,Northern Virginia,NOVA,R-VA   IS00066WB      RMP047.00A,0.4,,,-77.522048393,38.8020524400001,Visible Injury,All Other,All Other
173396,172145251,2017,7/23/2017 4:00:00 AM,800,B,0,0,1,0,1,0,0,1,10. Deer,1. No Adverse Condition (Clear/Cloudy),2. Daylight,1. Dry,8. Non-Intersection,4. Grade - Curve,"2. Blacktop, Asphalt, Bituminous",1. No Defects,"1. Two-Way, Not Divided",1. Not at Intersection,6. Traffic Lanes Marked,1. Yes - Working,2. No,,,3. No,23. Animal,1. On Roadway,No,Yes,Belted,No,No,No,No,No,No,No,No,No,No,,NOT_RD,Not Intersection,No,No,Yes,No,9. Northern Virginia,76,076. Prince William County,"3-Principal Arterial - Other (E,2)",4-Two-Way Divided,Urban,VDOT Primary,7,1. State Hwy Agency,Northern Virginia,NOVA,R-VA   US00001SB,172.21,,,-77.288908882,38.6142066890001,Visible Injury,All Other,All Other
173411,171355105,2017,5/10/2017 4:00:00 AM,505,B,0,0,1,0,1,0,0,2,3. Head On,1. No Adverse Condition (Clear/Cloudy),4. Darkness - Road Lighted,1. Dry,9. Within Intersection,1. Straight - Level,"2. Blacktop, Asphalt, Bituminous",1. No Defects,"3. Two-Way, Divided, Positive Median Barrier",4. Four Approaches,3. Traffic Signal,1. Yes - Working,2. No,,,3. No,20. Motor Vehicle In Transport,1. On Roadway,No,No,Belted,No,No,No,No,No,No,No,No,No,No,,NOT_RD,VDOT Intersection,No,No,Yes,Yes,9. Northern Virginia,76,076. Prince William County,"5-Major Collector (I,4)",4-Two-Way Divided,Urban,VDOT Secondary,7,1. State Hwy Agency,Northern Virginia,NOVA,R-VA076SC00674EB,2.65,749049.0,44.89,-77.566160624,38.783191162,Visible Injury,All Other,All Other
