Total:,Hispanic or Latino,Not Hispanic or Latino:,Population of one race:,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Prop_Hisp,Prop_White,Prop_Black,Prop_American_Native,Prop_Asian,Prop_Hawaiian,Prop_Onemorerace
5839,789,5050,4636,2997,973,4,623,14,0.13512587771878745,0.513272820688474,0.16663812296626135,0.000685048809727693,0.1066963521150882,0.002397670834046926,0.07090255180681623
7347,1268,6079,5642,4567,656,11,367,4,0.1725874506601334,0.6216142643255751,0.08928814482101538,0.0014972097454743433,0.04995236150809854,0.0005444399074452157,0.05948005988838982
3385,541,2844,2620,1997,411,5,175,8,0.15982274741506647,0.5899556868537666,0.12141802067946825,0.0014771048744460858,0.051698670605613,0.002363367799113737,0.06617429837518464
3262,385,2877,2648,1636,628,5,343,0,0.11802575107296137,0.5015328019619865,0.19251992642550583,0.0015328019619865114,0.10515021459227468,0.0,0.07020232985898221
6506,779,5727,5264,2717,1688,16,790,5,0.11973562865047649,0.4176145096833692,0.2594528127881955,0.002459268367660621,0.12142637565324316,0.000768521364893944,0.07116507838917922
3468,646,2822,2552,1326,850,3,329,17,0.18627450980392157,0.38235294117647056,0.24509803921568626,0.0008650519031141869,0.09486735870818916,0.004901960784313725,0.07785467128027682
5107,933,4174,3880,2718,599,5,525,2,0.18269042490699042,0.5322106912081457,0.11728999412570981,0.0009790483649892304,0.1028000783238692,0.00039161934599569217,0.05756804386136675
2789,467,2322,2153,1955,71,10,101,0,0.167443528146289,0.7009680889207601,0.02545715310147006,0.0035855145213338113,0.036213696665471494,0.0,0.06059519541054141
3642,389,3253,3017,2783,94,2,112,0,0.10680944535969247,0.7641405820977485,0.02580999450851181,0.0005491488193300384,0.030752333882482153,0.0,0.06479956068094453
5777,673,5104,4775,4226,306,3,200,0,0.11649645144538688,0.7315215509780163,0.05296866885926952,0.0005193006750908776,0.03462004500605851,0.0,0.056949974034966246
6754,2399,4355,4019,2030,1091,4,846,5,0.35519692034350014,0.30056262955285756,0.1615339058335801,0.0005922416345869114,0.12525910571513177,0.0007403020432336393,0.04974829730530056
4247,1859,2388,2187,964,667,8,523,0,0.4377207440546268,0.22698375323757947,0.1570520367318107,0.0018836825994819873,0.12314574994113492,0.0,0.04732752531198493
8502,1500,7002,6440,3932,1428,10,1009,10,0.17642907551164433,0.46247941660785696,0.1679604798870854,0.0011761938367442955,0.11867795812749941,0.0011761938367442955,0.0661020936250294
6810,686,6124,5791,3920,620,8,1200,2,0.10073421439060205,0.5756240822320118,0.09104258443465492,0.0011747430249632893,0.1762114537444934,0.0002936857562408223,0.04889867841409692
8112,1020,7092,6562,4212,869,7,1433,7,0.1257396449704142,0.5192307692307693,0.10712524654832348,0.0008629191321499013,0.17665187376725838,0.0008629191321499013,0.0653353057199211
4504,627,3877,3533,2580,404,4,510,0,0.1392095914742451,0.5728241563055062,0.08969804618117229,0.0008880994671403197,0.11323268206039076,0.0,0.0763765541740675
4936,665,4271,3985,2897,507,5,554,7,0.13472447325769854,0.5869124797406807,0.10271474878444084,0.001012965964343598,0.11223662884927066,0.0014181523500810373,0.057941653160453806
4224,596,3628,3394,2512,394,3,450,13,0.14109848484848486,0.5946969696969697,0.09327651515151515,0.0007102272727272727,0.10653409090909091,0.003077651515151515,0.05539772727272727
4984,659,4325,4021,2770,627,20,567,8,0.132223113964687,0.5557784911717496,0.12580256821829855,0.0040128410914927765,0.11376404494382023,0.0016051364365971107,0.060995184590690206
