censustract,pop_total_2024,uninsured_n_total_2024,uninsured_pct_total_2024,pop_male_2024,uninsured_n_male_2024,uninsured_pct_male_2024,pop_female_2024,uninsured_n_female_2024,uninsured_pct_female_2024,pop_total_2023,uninsured_n_total_2023,uninsured_pct_total_2023,pop_male_2023,uninsured_n_male_2023,uninsured_pct_male_2023,pop_female_2023,uninsured_n_female_2023,uninsured_pct_female_2023,pop_total_2022,uninsured_n_total_2022,uninsured_pct_total_2022,pop_male_2022,uninsured_n_male_2022,uninsured_pct_male_2022,pop_female_2022,uninsured_n_female_2022,uninsured_pct_female_2022,pop_total_2021,uninsured_n_total_2021,uninsured_pct_total_2021,pop_male_2021,uninsured_n_male_2021,uninsured_pct_male_2021,pop_female_2021,uninsured_n_female_2021,uninsured_pct_female_2021,pop_total_2020,uninsured_n_total_2020,uninsured_pct_total_2020,pop_male_2020,uninsured_n_male_2020,uninsured_pct_male_2020,pop_female_2020,uninsured_n_female_2020,uninsured_pct_female_2020
9012.28,6111.0,391.0,6.4,2792.0,214.0,7.7,3319.0,177.0,5.3,6445.0,445.0,6.9,3040.0,199.0,6.5,3405.0,246.0,7.2,6539.0,529.0,8.1,3183.0,231.0,7.3,3356.0,298.0,8.9,6302.0,507.0,8.0,3072.0,209.0,6.8,3230.0,298.0,9.2,5772.0,347.0,6.0,2888.0,150.0,5.2,2884.0,197.0,6.8
9012.29,4490.0,537.0,12.0,1896.0,227.0,12.0,2594.0,310.0,12.0,4682.0,530.0,11.3,2057.0,229.0,11.1,2625.0,301.0,11.5,4741.0,386.0,8.1,2178.0,236.0,10.8,2563.0,150.0,5.9,4877.0,248.0,5.1,2305.0,164.0,7.1,2572.0,84.0,3.3,4818.0,157.0,3.3,2462.0,118.0,4.8,2356.0,39.0,1.7
9012.30,4147.0,361.0,8.7,2220.0,203.0,9.1,1927.0,158.0,8.2,4004.0,432.0,10.8,2071.0,250.0,12.1,1933.0,182.0,9.4,4093.0,295.0,7.2,2198.0,182.0,8.3,1895.0,113.0,6.0,4010.0,265.0,6.6,2110.0,162.0,7.7,1900.0,103.0,5.4,3998.0,220.0,5.5,2080.0,133.0,6.4,1918.0,87.0,4.5
9012.31,7204.0,93.0,1.3,3599.0,16.0,0.4,3605.0,77.0,2.1,6380.0,170.0,2.7,3330.0,117.0,3.5,3050.0,53.0,1.7,6252.0,348.0,5.6,3197.0,236.0,7.4,3055.0,112.0,3.7,5895.0,316.0,5.4,2938.0,216.0,7.4,2957.0,100.0,3.4,5871.0,400.0,6.8,2963.0,267.0,9.0,2908.0,133.0,4.6
9012.32,5677.0,130.0,2.3,2690.0,75.0,2.8,2987.0,55.0,1.8,5357.0,159.0,3.0,2592.0,98.0,3.8,2765.0,61.0,2.2,5147.0,151.0,2.9,2641.0,84.0,3.2,2506.0,67.0,2.7,4570.0,224.0,4.9,2278.0,107.0,4.7,2292.0,117.0,5.1,4309.0,276.0,6.4,2121.0,149.0,7.0,2188.0,127.0,5.8
9012.33,7403.0,232.0,3.1,3777.0,188.0,5.0,3626.0,44.0,1.2,7127.0,245.0,3.4,3782.0,133.0,3.5,3345.0,112.0,3.3,6821.0,235.0,3.4,3651.0,143.0,3.9,3170.0,92.0,2.9,6840.0,458.0,6.7,3706.0,254.0,6.9,3134.0,204.0,6.5,6508.0,366.0,5.6,3437.0,162.0,4.7,3071.0,204.0,6.6
9012.34,3531.0,340.0,9.6,1555.0,222.0,14.3,1976.0,118.0,6.0,3142.0,262.0,8.3,1448.0,184.0,12.7,1694.0,78.0,4.6,2922.0,118.0,4.0,1370.0,86.0,6.3,1552.0,32.0,2.1,2984.0,129.0,4.3,1455.0,85.0,5.8,1529.0,44.0,2.9,2893.0,164.0,5.7,1394.0,105.0,7.5,1499.0,59.0,3.9
9012.35,2836.0,41.0,1.4,1521.0,16.0,1.1,1315.0,25.0,1.9,2784.0,21.0,0.8,1502.0,0.0,0.0,1282.0,21.0,1.6,2892.0,24.0,0.8,1583.0,0.0,0.0,1309.0,24.0,1.8,3020.0,4.0,0.1,1497.0,4.0,0.3,1523.0,0.0,0.0,2952.0,10.0,0.3,1464.0,10.0,0.7,1488.0,0.0,0.0
9012.36,6565.0,298.0,4.5,2843.0,205.0,7.2,3722.0,93.0,2.5,6646.0,267.0,4.0,3085.0,171.0,5.5,3561.0,96.0,2.7,6283.0,284.0,4.5,2866.0,146.0,5.1,3417.0,138.0,4.0,6301.0,209.0,3.3,3018.0,112.0,3.7,3283.0,97.0,3.0,5915.0,269.0,4.5,2902.0,163.0,5.6,3013.0,106.0,3.5
9012.37,3099.0,176.0,5.7,1502.0,91.0,6.1,1597.0,85.0,5.3,3023.0,182.0,6.0,1472.0,116.0,7.9,1551.0,66.0,4.3,2908.0,189.0,6.5,1231.0,138.0,11.2,1677.0,51.0,3.0,3107.0,256.0,8.2,1447.0,168.0,11.6,1660.0,88.0,5.3,2883.0,242.0,8.4,1314.0,115.0,8.8,1569.0,127.0,8.1
