,censustract,total_2024,male_over_64_2024,female_over_64_2024,total_2023,male_over_64_2023,female_over_64_2023,total_2022,male_over_64_2022,female_over_64_2022,total_2021,male_over_64_2021,female_over_64_2021,total_2020,male_over_64_2020,female_over_64_2020,Over64_Proportion_2024,Over64_Proportion_2023,Over64_Proportion_2022,Over64_Proportion_2021,Over64_Proportion_2020
75,9014.20,3923,58,203,4184,87,177,4328,67,149,4273,90,71,4495,85,54,6.65,6.31,4.99,3.77,3.09
76,9014.21,5497,100,300,5336,92,276,5416,101,185,5248,96,198,4733,80,187,7.28,6.9,5.28,5.6,5.64
77,9015.03,5695,521,529,5509,500,501,5327,527,476,5351,490,482,5320,499,518,18.44,18.17,18.83,18.16,19.12
78,9015.04,4892,1226,1976,4897,1249,1795,4756,1257,1788,4464,1213,1740,4433,1163,1744,65.45,62.16,64.02,66.15,65.58
79,9015.05,7574,475,486,7208,479,445,7237,414,395,7555,323,302,7301,276,353,12.69,12.82,11.18,8.27,8.62
80,9015.06,6590,177,247,6803,163,211,7010,186,211,7071,197,144,7081,110,148,6.43,5.5,5.66,4.82,3.64
81,9015.07,2978,126,110,2954,119,93,2874,125,84,2815,116,85,2827,122,54,7.92,7.18,7.27,7.14,6.23
82,9015.08,6261,159,271,6035,141,289,5770,186,308,5898,175,246,5847,240,367,6.87,7.13,8.56,7.14,10.38
83,9015.09,8086,493,600,7915,347,401,7727,325,344,7478,300,336,6899,341,418,13.52,9.45,8.66,8.5,11.0
84,9015.10,6049,397,415,6380,403,436,6476,298,353,6383,345,430,5997,259,334,13.42,13.15,10.05,12.14,9.89
85,9015.11,4469,627,984,4515,610,938,4381,562,908,4221,591,878,3978,589,823,36.05,34.29,33.55,34.8,35.5
86,9016.01,4367,285,409,3651,227,304,4688,266,363,4146,219,264,3973,139,159,15.89,14.54,13.42,11.65,7.5
87,9016.02,7650,332,293,7912,312,387,8377,291,433,7986,195,463,8098,195,468,8.17,8.83,8.64,8.24,8.19
88,9017.02,4831,213,190,4815,200,170,4641,173,188,4455,134,163,4356,130,163,8.34,7.68,7.78,6.67,6.73
89,9017.03,2750,94,151,2574,103,146,2418,117,118,2770,103,108,2518,105,139,8.91,9.67,9.72,7.62,9.69
90,9017.04,7269,560,312,7116,506,274,6582,476,262,7151,411,249,6971,293,148,12.0,10.96,11.21,9.23,6.33
91,9019,7256,249,310,8141,277,330,7729,259,314,7155,189,252,6702,238,149,7.7,7.46,7.41,6.16,5.77
92,9801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
